Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
Hawaii,Swimming,M,28,Right thigh & calf bitten,N,12h50,"Tiger shark, 14"
Texas,Swimming,M,15,Left leg & hand bitten,N,14h45,UNKNOWN
Eastern Cape Province,Surfing,M,UNKNOWN,Lacerations to knee,N,Morning,UNKNOWN
Florida,Surfing,F,UNKNOWN,Lacerations to left ankle,N,UNKNOWN,UNKNOWN
South Carolina,Boogie Boarding,F,10,Puncture marks to hand,N,Afternoon,4 to 5 shark
Florida,Fishing for sharks,M,58,Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,UNKNOWN,"Lemon shark, 4"
New South Wales,Surfing,M,UNKNOWN,"No injury, board damaged",N,16h00,6 shark
Hawaii,Diving,M,32,Lacerations to right hand,N,UNKNOWN,Galapagos shark
Florida,Swimming,M,11,Right foot bitten,N,Afternoon,UNKNOWN
Pernambuco,UNKNOWN,M,41,FATAL,Y,UNKNOWN,UNKNOWN
UNKNOWN,Fishing,M,30,Two fingers lost PROVOKED INCIDENT,N,Evening,UNKNOWN
Santa Cruz Island,Surfing,M,29,Superficial injury to left calf,N,12h00,Galapagos shark
California,Surfing,M,42,Shark bites were post-mortem,UNKNOWN,UNKNOWN,Invalid
Saint-Gilles,Body boarding,M,36,FATAL,Y,08h20,Bull shark
Florida,Surfing,M,16,Lacerations to left foot and ankle,N,11h15,a small shark
New South Wales,Fishing,M,UNKNOWN,Foot bitten by landed shark PROVOKED INCIDENT,N,UNKNOWN,"Wobbegong, 2m"
Quintana Roo,Swimming,F,34,Avulsion injury  to lower right leg,N,13h40,Tiger shark
New South Wales,Fishing,M,51,Puncture wounds and lacerations to both legs,N,14h00,"Grey nurse shark, 3m"
Florida,Playing in the surf,M,9,Lacerations to right foot,N,10h30,3 shark
Western Cape Province,Free diving,M,UNKNOWN,"""Light scratch on hand/wrist area""",N,UNKNOWN,Blue shark
Florida,Surfing,M,21,Minor lacerations to right hand,N,13h30,Bull shark
UNKNOWN,UNKNOWN,M,40,FATAL,Y,UNKNOWN,UNKNOWN
Tuamotus,Kite boarding,M,53,"Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,12h00,Possibly a blacktip reef shark
Florida,Swimming,M,50,Lacerations to hand,N,UNKNOWN,UNKNOWN
Western Australia,UNKNOWN,M,24,Disappeared. No evidence that he was taken by a shark,UNKNOWN,UNKNOWN,shark involvement not confirmed
Hawaii,Surfing,M,58,Right thigh bitten,N,08h30,4 shark
New South Wales,Surfing,M,47,Never happened; it was a  hoax,UNKNOWN,UNKNOWN,No shark involvement
UNKNOWN,Free diving,M,34,Lacerations to left foot,N,UNKNOWN,UNKNOWN
UNKNOWN,Snorkeling,F,UNKNOWN,Toe injured,N,UNKNOWN,Nurse shark
Eleuthera,Fly fishing,M,50,Left foot bitten,N,UNKNOWN,UNKNOWN
Western Cape Province,Fishing - tag & release,M,30,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,09h00,"Raggedtooth shark, 1.5 m"
Western Cape Province,Surfing,M,UNKNOWN,"No injury, surfboard bitten",N,UNKNOWN,UNKNOWN
St. Catherine,Spearfishing,M,68,FATAL,Y,09h00,"Tiger shark, 4.8 m"
Western Australia,Spearfishing,M,28,Laceration to left hand,N,09h00,"Bronze whaler shark, 2.5m"
Palawan,Swimming to shore with floatioon devices after boat engine conked out,M,UNKNOWN,Minor leg injuries,N,UNKNOWN,"""small sharks"""
Eastern Cape Province,Swimming,M,39,Injuries to arms & hands,N,UNKNOWN,UNKNOWN
North Island,Swimming,M,46,FATAL,Y,13h24,"White shark, 4m"
Hawaii,Surfing,UNKNOWN,UNKNOWN,Lacerations to right leg,N,18h00,reef shark?
Hawaii,Surfing,M,UNKNOWN,"No injury, shark bit rail of foam board",N,18h00,reef shark?
Florida,Surfing,M,16,Lacerations to right hand,N,14h00,"Blacktip shark, 4 to 5"
Society Islands,Scuba diving,M,48,Lacerations to right arm & thigh,N,UNKNOWN,Lemon shark
Kingston Parish,UNKNOWN,M,18,Knee bitten,N,UNKNOWN,UNKNOWN
Victoria,Fishing,M,UNKNOWN,"No injury to occupants, shark bit propeller",N,UNKNOWN,"White shark, 5m"
Queensland,Surfing,M,UNKNOWN,Lacerations to neck,N,UNKNOWN,UNKNOWN
Queensland,Dragging stranded shark into deeper water,M,62,"No injury, a 3 m blue shark merely snapped at the man.",UNKNOWN,UNKNOWN,UNKNOWN
Hawaii,Surfing,M,43,Left forearm bitten ,N,16h30,"Tiger shark, 15"
Mercury Islands,Spearfishing,M,UNKNOWN,Minor cut on finger,N,UNKNOWN,"Bronze whaler shark, 3m"
Western Australia,Spearfishing / Free diving,M,26,Calf & shin bitten ,N,10h00,UNKNOWN
Florida,Swimming,M,UNKNOWN,Lower leg or ankle bitten,N,14h00,UNKNOWN
New South Wales,Surfing,M,23,"No injury, chunk missing from surfboard",N,12h45,2.5 m shark
New South Wales,Paddle boarding,M,29,Lacerations to thigh and hand,N,10h45,"Bull shark, 2m "
Eastern Cape Province,Swimming,M,20,FATAL,Y,UNKNOWN,Tiger shark
Western Australia,Surfing,M,32,No injury,N,830,"Tiger shark, 6"
Hawaii,Surfing,M,60,Lacerations to left foot,N,13h20,10 shark
New South Wales,Spearfishing,M,31,Minor puncture wounds to knee,N,16h45,Sandtiger shark
South Island,Scuba diving,F,25,"No injury, shark grabbed hood",N,UNKNOWN,Seven-gill shark
Hawaii,Snorkeling,M,61,Lacerations to thigh & lower left leg,N,09h40,"Tiger shark, 10"
Queensland,UNKNOWN,M,20,"Injury to ankle caused  by a stingray, not a shark",UNKNOWN,14h50,No shark involvement
Sinaloa,Swimming,M,32,FATAL,Y,11h40,2.5 m shark
Florida,Surfing,M,14,Minor lacerations to left foot & heel,N,17h30,2 to 3 shark
Hawaii,Diving,M,30,Right lower leg and foot bitten,N,08h30,"Tiger shark, 15"
Hawaii,Surfing,M,43,"No injury, surfboard bitten",N,08h10,"Tiger shark, 8"
California,Surfing,M,25,Multiple lacerations to torso,N,12h00,White shark
Hawaii,Swimming,F,51,"Puncture wounds to thigh, defense wounds  to hand",N,15h56,"Tiger shark, 10 to 12 "
California,Surfing,M,39,FATAL,Y,11h00,"White shark, 15 to 16 "
Florida,UNKNOWN,F,35,Left calf bitten,N,UNKNOWN,UNKNOWN
Florida,Surfing,M,24,Minor bite to ankle,N,10h30,UNKNOWN
Hawaii,Paddle boarding,M,55,"No injury, board bitten",N,07h30,6 to 8 shark
Florida,UNKNOWN,M,UNKNOWN,Laceration to toe,UNKNOWN,17h00,Shark involvement not confirmed
Delta,Bathing,F,38,Laceration to right leg,N,UNKNOWN,UNKNOWN
California,Windsurfing,M,42,"No ijnury to boardrider, shark struck board breaking the mast",N,18h30,UNKNOWN
Western Australia,Bodyboarding,M,11,"No injury, but swim fin bitten & torn",N,12h00,2m shark
Florida,Surfing,M,21,Lacerations to left forearm,N,16h30,5 shark
Florida,Surfing,M,22,Left foot bitten,N,Afternoon,4 shark
Florida,Surfing,M,52,Foot bitten,N,15h00,UNKNOWN
Vavau,Swimming,F,29,Injuries to thighs & buttocks,N,UNKNOWN,Possibly a 3 m bull shark
Florida,Surfing,UNKNOWN,19,Minor injury to elbow,N,14h20,UNKNOWN
Florida,Surfing,M,25,Right foot bitten,N,12h00,UNKNOWN
Florida,Swimming,M,UNKNOWN,Lacerations to right calf,N,Afternoon,UNKNOWN
Florida,Surfing,M,UNKNOWN,Right calf bitten,N,Just before noon,UNKNOWN
Florida,Surfing,M,37,Lacerations to foot,N,11h30,UNKNOWN
Florida,Surfing,M,32,Puncture wounds to hand,N,07h56,UNKNOWN
Florida,Boogie boarding,F,8,Puncture wounds to calf and hand,N,18h30,3.5 to 4 shark
Hawaii,Spearfishing,UNKNOWN,UNKNOWN,Minor laceration to hand  PROVOKED INCIDENT,N,12h00,"Tiger shark, 10 to 12 "
Florida,Swimming or boogie boarding,F,56,Puncture wound to left ankle,N,16h30,3.5 to 4 shark
Inner Hebrides,Shark fishing,M,53,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",N,UNKNOWN,"Porbeagle shark, 7"
Western Australia,Surfing,M,34,Lacerations to torso and arm,N,15h30,UNKNOWN
Pernambuco,Swimming,M,18,FATAL,Y,Afternoon,UNKNOWN
Alabama,Wading or swimming,M,31,Lacerations to leg,N,UNKNOWN,UNKNOWN
Western Australia,Fishing,UNKNOWN,UNKNOWN,"No injury, shark grabbed outboard motor",N,12h00,4.5 m shark
Florida,Free diving ,M,56,Lacerations to little finger of left hand,N,1600,"Lemon shark, 4 to 5 "
Saint Leu,Surfing,M,39,Right hand and foot severed,N,17h17,Bull shark
Tuamotus,Spearfishing,M,UNKNOWN,Shoulder bitten,N,UNKNOWN,"Lemon shark, 2.5m to 3m "
California,Surfing,M,17,"No injury, surfer knocked off board when shark struck surfboard",N,06h45,UNKNOWN
South Australia,Surfing,M,48,Lacerations to torso & arm,N,14h40,White shark or bronze whaler
Hawaii,Surfing,M,44,Left foot bitten,N,16h35,UNKNOWN
Massachusetts,Body surfing,M,50,Lacerations to both legs below the knees,N,15h30,Thought to involve a white shark
North Carolina,UNKNOWN,M,12,Shark involvement unconfirmed,UNKNOWN,11h45,Shark involvement not confirmed
Trois-Bassins,Surfing,M,22,FATAL,Y,16h30,UNKNOWN
Trinidad,Swimming,M,24,Probable drowning with post-mortem bite,UNKNOWN,UNKNOWN,UNKNOWN
British Colombia,Surfing,F,23,"Lacerations to 2 fingers, but shark involvement unconfirmed",UNKNOWN,UNKNOWN,"Salmon shark suspected, but unlikely"
Western Australia,Surfing,M,24,FATAL,Y,09h05,"White shark, 5m"
North Carolina,Swimming,F,43,Lacerations to right ankle and calf,N,17h30,UNKNOWN
Eleuthera,Spearfishing,M,UNKNOWN,Lacerations to right leg,N,UNKNOWN,UNKNOWN
Victoria,Scuba diving,F,42,Cause of death was drowning & preceded shark involvement,UNKNOWN,15h00,UNKNOWN
California,Kayaking,M,52,"No injury, kayak bitten",N,08h30,14 to 18shark
Western Cape Province,Surfing,M,29,Lacerattions to left thigh & knee,N,16h30,15 shark
UNKNOWN,Swimming,UNKNOWN,60,"Leg struck. Initally reported as a shark attack, but involved a swordfish",UNKNOWN,UNKNOWN,No shark involvement
Florida,Swimming,M,6,Thigh bitten,N,19h00,possibly a bull shark
Florida,Surfing,M,26,Nip to left foot,N,15h00,UNKNOWN
Hawaii,Sitting in the water,F,16,Laceration to left calf,N,09h45,a small reef shark
Tasmania,Surfing,M,UNKNOWN,"Knocked off board, shark bit nose off surfboard",N,UNKNOWN,UNKNOWN
Florida,Swimming,M,12,Minor injury,N,16h30,UNKNOWN
Western Australia,Surf skiing ,M,62,"No injury, ski severely damaged",N,07h15,3 m shark
South Carolina,Standing,M,16,"Laceration to foot. Injured by a stingray, not a shark",UNKNOWN,UNKNOWN,No shark involvement
North Carolina,Wading,F,6,Numerous puncture wounds to leg ,N,11h00,UNKNOWN
Florida,Fishing,M,23,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,14h20,Nurse shark
South Carolina,Swimming,F,18,Foot & hand bitten,N,Afternoon,small blacktip shark?
South Carolina,Swimming,M,UNKNOWN,Minor injury,N,Afternoon,Shark involvement not confirmed
South Carolina,Swimming,M,UNKNOWN,Calf bitten,N,Afternoon,small blacktip shark?
South Carolina,Swimming,M,16,Laceration to right foot,N,13h20,Blacktip shark 
Victoria,Surfing,M,42,Laceration to right foot,N,Morning,1.5 m shark
Sardinia,Attempting to rescue an injured & beached shark,M,57,Lower left leg injured PROVOKED ACCIDENT,UNKNOWN,Morning,"Blue shark, 2.5m"
New South Wales,Surf skiing ,M,30,"No injury, ski bitten",N,14h30,"White shark, 2 m"
Florida,Surfing,F,12,Laceration to thigh,N,UNKNOWN,UNKNOWN
South Carolina,Boogie Boarding,M,25,Severe laceration to foot,N,19h45,UNKNOWN
North Carolina,Wading,F,33,Foot bitten,N,13h30,"18"" to 24"" shark"
Guerrero,Free diving / spearfishing,M,46,Left hand severed,N,09h00,"Bull shark, 3m"
Florida,Surfing,M,22,Lacerations to foot,N,15h00,4 to 5 shark
Hawaii,Kayak Fishing,M,UNKNOWN,"No injury, teethmarks in kayak",N,Morning,"Tiger shark, 8 to 9 "
UNKNOWN,Spearfishing,M,20,Lacerations to head,N,UNKNOWN,UNKNOWN
California,Kayaking / Fishing,M,30,"No injury, kayaker fell in the water when kayak bitten by a shark",N,14h30,White shark
Florida,Swimming,F,47,Upper left thigh bitten,N,11h30,UNKNOWN
California,Paddle boarding,F,15,"No injury, shark bit paddleboard",N,07h20,White shark
Florida,Surfing,M,28,Lacerations to hand,N,19h28,5 shark
Western Cape Province,Body boarding,M,20,FATAL,Y,12h30,"White shark, 4 m to 5m "
South Australia,Kayaking,M,27,Minor wound to his thigh when shark bit kayak,N,UNKNOWN,"White shark, 6m "
Hawaii,Surfing,M,28,Lacerations to left foot,N,12h38,"Tiger shark, 10  "
Florida,UNKNOWN,M,UNKNOWN,Right shin bitten,N,UNKNOWN,a small shark
Western Australia,Scuba diving,M,33,FATAL,Y,09h30,"White shark, 4m "
Florida,Surfing,M,21,Minor lacerations to foot,N,14h00,UNKNOWN
Western Australia,Crayfishing,UNKNOWN,UNKNOWN,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,05h50,White shark
Queensland,Surfing,M,20,Lacerations to left calf,N,17h00,Possibly a bull shark
Florida,Surfing,M,61,Left forearm bitten,N,15h50,Possibly a 5 to 6 bull shark
Florida,Surfing,F,15,Bitten on ankle,N,16h00,4 to 5 shark
Florida,Surfing,M,17,Bitten on calf,N,16h05,4 to 5 shark
North Island,Surfing,M,UNKNOWN,Lacerations to left calf,N,19h00,UNKNOWN
Victoria,"Diving, feeding sharks",F,34,Superficial lacerations to right side of face PROVOKED ACCIDENT,N,11h30,"Tawny nurse shark, 40cm"
Saint-Benoit,Body boarding,M,31,"No injury, board bitten",N,14h30,UNKNOWN
Florida,Kite Surfing,M,19,Lacerations to left calf,N,13h00,4 shark
Tabuk Province,Attempting to Kite surf from Egypt to Saudi Arabia,M,42,Harassed by sharks but not injured by them,UNKNOWN,UNKNOWN,UNKNOWN
Antofagasta Province,Fishing (illegally),M,UNKNOWN,Hand injured PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Florida,Kite Surfing,M,UNKNOWN,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,14h00,Spinner shark
New South Wales,Fishing,M,UNKNOWN,Laceration to left foot,N,16h00,Grey nurse shark
Western Cape Province,Fishing,UNKNOWN,UNKNOWN,"No injury to occupants, boat damaged",N,UNKNOWN,"White shark, 7m"
Queensland,Surfing,M,29,"No injury, but fin lost from surfboard",N,12h00,UNKNOWN
Hawaii,Snorkeling,UNKNOWN,UNKNOWN,"No injury, shark bit swim fin",N,11h05,6 to 8 shark
Western Australia,Snorkeling,M,26,Lacerations to right forearm,N,Afternoon,"Tiger shark, 3m"
UNKNOWN,"Diving, photographing sharks",M,UNKNOWN,"No injury, shark grabbed his camera",N,UNKNOWN,Tiger shark
Taitung ,Fishing,M,24,Bitten on left thigh     PROVOKED ACCIDENT,N,UNKNOWN,"Blue shark, 70-kg blue shark"
New South Wales,Surfing,M,44,Lacerations to thigh,N,16h45,"White shark, 2.7 m"
Eastern Cape Province,Swimming,M,25,FATAL,Y,15h40,Thought to involve a bull shark
Oregon,Surfing,M,53,"No injury, surfboard damaged",N,UNKNOWN,White shark
New South Wales,Surfing,M,28,Right forearm and wrist injured,N,20h00,2 m shark
Queensland,Spearfishing,M,34,"No injury, punctures to swim fin",N,09h00,Allegedly a 4 m tiger shark
Florida,UNKNOWN,M,UNKNOWN,Hand injured,N,18h00,UNKNOWN
St Johns,Swimming,M,UNKNOWN,Bitten on right hand & wrist,UNKNOWN,Early morning,Shark involvement not confirmed
Santa Elena,Surfing,M,23,Lacerations to left thigh and calf,N,18h00,UNKNOWN
Florida,Surfing,M,27,Laceration to ankle,N,12h30,UNKNOWN
Hawaii,Canoeing,M,UNKNOWN,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,UNKNOWN,7 to 8 shark 
Eastern Cape Province,Kayak Fishing,M,35,No injury but kayak dented,N,Dawn,UNKNOWN
New South Wales,Surfing,M,51,5 puncture wounds to thigh,N,05h45,"White shark, 2.5m"
KwaZulu-Natal,Surf skiing ,M,UNKNOWN,"No injury, ski damaged",UNKNOWN,UNKNOWN,Shark involvement not confirmed
New South Wales,Surfing,M,14,Minor injuries to left leg ,N,UNKNOWN,Wobbegong shark
Oregon,Surfing,F,UNKNOWN,Minor injury to calf ,N,09h00,UNKNOWN
Queensland,Spearfishing,UNKNOWN,UNKNOWN,Killed by a shark or crocodile.,UNKNOWN,UNKNOWN,Shark involvement not confirmed
New South Wales,Surfing,M,63,Torn shoulder ligament as result of collision with shark,N,06h00,UNKNOWN
Bali,Surfing,M,18,Lacerations to right hand,N,13h30,UNKNOWN
Queensland,Swimming,M,10,Puncture marks to foot,N,Afternoon,Wobbegong shark?
California,Kayaking,M,UNKNOWN,"No injury, kayak bitten",N,UNKNOWN,"White shark, 15 to 16"
East New Britain,Scuba diving,M,UNKNOWN,"No injury, shark collided with diver",N,UNKNOWN,UNKNOWN
Pernambuco,Surfing,M,35,Legs bitten,N,UNKNOWN,UNKNOWN
Bois-Blanc ,Free diving / spearfishing,M,42,Left foot bitten,N,Morning,UNKNOWN
California,Surfing,M,27,"Lacerations to right wrist, foream & neck",N,UNKNOWN,White shark
Moray,Surfing,M,26,"No injury, shark bumped leg & board. ",N,UNKNOWN,8 to 10 shark
KwaZulu-Natal,Diving,UNKNOWN,UNKNOWN,Arm bitten by captive shark PROVOKED INCIDENT,N,UNKNOWN,Raggedtooth shark
Western Australia,Diving,M,32,FATAL,Y,13h25,"White shark, 10"
Oregon,Surfing,M,41,"No injury, shark bit surfboard",N,UNKNOWN,"White shark, 15"
Victoria,Diving,M,50,Small bruise to calf,N,16h00,"Port Jackson shark, 1m"
Florida,Surfing,M,UNKNOWN,Foot bitten,N,UNKNOWN,3 shark
Oregon,Surfing,M,UNKNOWN,No injury,N,UNKNOWN,10 to 12 shark
Western Australia,Swimming,M,64,FATAL,Y,08h10,UNKNOWN
UNKNOWN,Canoeing,M,51,No injury to occupant,N,10h30,2 to 2.5 m shark
Florida,Wade fishing,M,UNKNOWN,Minor injury to thigh,N,Afternoon,UNKNOWN
Alabama,UNKNOWN,M,29,Lacerations to right wrist and middle finger,N,UNKNOWN,UNKNOWN
Puerto Rico,Surfing,M,27,Lacerations to lower right leg ,UNKNOWN,09h50,No shark involvement
Samaná Province,Fishing,M,48,Severe injuries to left arm PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Western Cape Province,Swimming,M,43,"Right leg severed, left leg lacerated",N,12h25,White shark
Florida,Spearfishing,M,21,Laceration to left thigh,N,15h00,"Bull shark, 6"
South Carolina,Jumping in the waves,M,5,Laceration to left thigh,N,10h00,UNKNOWN
Hawaii,Canoeing,M,UNKNOWN,"No injury, canoe bitten by shark",N,15h00,UNKNOWN
Saint-Gilles,Body boarding,M,38,FATAL,Y,15h30,UNKNOWN
Coast Province,Swimming,M,17,FATAL,Y,UNKNOWN,UNKNOWN
Florida,Surfing,M,25,Lacerations to arm,N,11h00,4 to 6 shark
California,Surfing,M,37,"No injury, board bitten",N,12h20,UNKNOWN
Central Province,Kite Surfing,M,30,Lacerations to right leg,N,Afternoon,"Tiger shark, 2m"
Hawaii,Surfing,UNKNOWN,UNKNOWN,"No injury, shark bit surfboard",N,13h00,UNKNOWN
Western Australia,Body boarding,M,21,FATAL,Y,13h26,White shark
Florida,Surfing,M,19,Lacerations to ankle & foot,N,11h00,"6 shark, possibly a blactip or spinner shark"
Florida,Surfing,M,19,Lacerations to lower leg,N,11h00,6 shark
Queensland,Swimming,M,48,FATAL,UNKNOWN,19h30,Shark involvement prior to death not confirmed
Texas,Wade Fishing,F,39,"Lacerations to anterior left shin, abrasion to posteior right leg",N,19h00,UNKNOWN
Primorsky Krai,"Standing, collecting sea stars",M,UNKNOWN,Superficial laceration to shoulder,N,Morning,UNKNOWN
North Carolina,Surfing,M,21,Lacerations to foot,N,UNKNOWN,UNKNOWN
North Carolina,UNKNOWN,M,10,Heel bitten,N,15h30,UNKNOWN
Western Cape Province,Surfing,M,49,FATAL,Y,09h11,"White shark, >6"
"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Swimming,M,16,"Lacerations to hip, thigh and knee",N,UNKNOWN,UNKNOWN
North Carolina,Wading,F,UNKNOWN,Lacerations to foot,N,17h00,Possibly a 5 to 6 sandtiger shark
North Carolina,UNKNOWN,M,12,Abrasions to left hand,UNKNOWN,16h00,Shark involvement not confirmed
"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Swimming,M,25,Hands severed,N,Evening,4 m shark
Society Islands,Surfing,M,32,"No injury, board bitten",N,15h30,Grey reef shark 
Puerto Rico,Floating ,M,27,Lacerations to  lower right leg and foot,N,Night,UNKNOWN
Praslin,Swimming or Snorkeling,M,30,FATAL,Y,16h30,"Bull shark, 6"
South Carolina,Playing in the surf,M,7,Puncture wounds to foot,N,UNKNOWN,Shark involvement not confirmed
North Carolina,Swimming,M,54,Lower right leg bitten,N,14h00,UNKNOWN
Praslin,Diving,M,36,FATAL,Y,15h30,UNKNOWN
Pernambuco,Swimming,M,14,Cause of death may have been drowning; remains scavenged by sharks,UNKNOWN,UNKNOWN,Shark involvement prior to death not confirmed
UNKNOWN,Sea disaster,M,43,The two Malabagos were bitten by sharks but survived. The other occupants of the boat  were rescued.,N,UNKNOWN,UNKNOWN
New Jersey,Wade Fishing,M,UNKNOWN,"No injury, shark bit boot",N,Night,UNKNOWN
Eastern Cape Province,Surfing,M,29,Upper left arm & right leg bitten,N,10h00,"White shark, 3m to 4m"
North Carolina,Boogie Boarding,F,6,Lower right leg & foot bitten,N,17h30,UNKNOWN
Saint-Gilles,Kayaking or Wave skiing,M,UNKNOWN,No injury,N,17h00,UNKNOWN
Texas,Surf fishing,M,UNKNOWN,Lacerations to left foot,N,20h30,UNKNOWN
Grand Bahama Island,Scuba diving,M,54,Injuries to arm,N,12h30,UNKNOWN
Texas,Swimming,M,12,Foot bitten,N,17h00,UNKNOWN
Texas,Wade Fishing,M,14,Lacerations to right foot,N,UNKNOWN,UNKNOWN
Saint-Gilles,Surfing,M,16,Minor injuries: scratches on nose & ankle. Board broken in two,N,14h50,UNKNOWN
Sucre,Kayaking,M,17,"Right arm bitten, defense wounds to left hand",N,10h30,UNKNOWN
Middle Caicos,Snorkeling,M,28,Lacerations to left shoulder and back,N,13h30,UNKNOWN
Pernambuco,Surfing,M,21,Lacerations to right thigh,N,10h00,UNKNOWN
KwaZulu-Natal,Scuba diving,M,22,Severe lacerations to hands and  left leg,N,12h00,"Bull shark, 3m female"
North Carolina,Playing in the surf,F,10,Ankle bitten,N,Afternoon,"Bull shark, 6"
California,Surfing,M,UNKNOWN,Shark leapt onto surfboard; surfer uninjured ,N,13h30,"White shark, 5 k"
Florida,Jet skiing,M,20,Lacerations to foot and ankle,N,Afternoon,UNKNOWN
Caicos Bank,Spearfishing,M,35,Right calf bitten,N,UNKNOWN,5 shark
Guanacaste,Surfing,M,15,FATAL,Y,12h15,UNKNOWN
Saint-Gilles-les-Bains,Boogie Boarding,M,31,FATAL,Y,17h30,UNKNOWN
Cornwall,Fishing,UNKNOWN,UNKNOWN,"No injury, shark slammed into boat",N,UNKNOWN,"Oceanic whitetip shark, 7"
Florida,Scuba diving,M,28,Lacerations to right calf,N,14h30,"Blacktip shark, 4"
San Andrés archipelago,Spearfishing,M,24,Injuries to right hand and forearm,N,UNKNOWN,UNKNOWN
California,Spearfishing,M,28,"No injury, minor damage to wetsuit",N,UNKNOWN,"Sevengill shark, 6 to 8"
Florida,Wading,M,19,Puncture wound to calf,N,12h00,3 to 4 shark
Kedah,Snorkeling,F,UNKNOWN,Laceration to dorsum of right foot,N,UNKNOWN,Blacktip reef shark 
Texas,Standing or boogie boardin,F,22,Lacerations & punctures to right thigh ,N,15h00,UNKNOWN
Western Cape Province,Surfing,M,33,"No injury, board bumped by shark",N,UNKNOWN,White shark
Hawaii,Surfing,F,UNKNOWN,"No injury, board bitten",N,13h15,"Tiger shark, 10"
Hawaii,Paddle boarding,F,UNKNOWN,"No injury, board bitten",N,12h00,Tiger shark
KwaZulu-Natal,Spearfishing,M,28,"Thigh bitten, FATAL",Y,Midday,Zambesi shark
Florida,Body surfing,M,86,Lacerations to left foot & ankle,N,15h30,UNKNOWN
North Province,Kite Boarding,M,15,"Thigh bitten, FATAL",Y,11h00," Tiger shark, 2.8m"
Florida,Surfing,M,37,Minor injury; puncture wounds to calf,N,06h30,UNKNOWN
Florida,Fishing ,M,UNKNOWN,Laceration to arm by captive shark PROVOKED INCIDENT,N,UNKNOWN,"Sandbar shark, 8"
Umm al Qaywayan Province,Fishing ,M,43,"Erroneously reported on several internet sites as a ""shark attack"", it was the shark 8, 300-kg mako shark that was attacked, not the fisherman",UNKNOWN,UNKNOWN,Invalid
KwaZulu-Natal,Spearfishing,M,37,Calf bitten,N,UNKNOWN,UNKNOWN
Florida,Spearfishing,M,32,Calf bitten,N,UNKNOWN,"Bull shark, 12"
Western Australia,Washing sand off a speared fish,M,17,Heel bitten,N,15h00,"reef shark, 1.5m"
Florida,Surfing ,M,49,Minor puncture wounds,N,15h30,1 to 2 shark
South Island,Surfing,M,41,Puncture to left hand,N,Afternoon,possibly a bronze whaler shark
Bali,Surfing,M,UNKNOWN,Lacerations to forearm,N,Morning," Bull shark, 2.5 m"
Vitu Levu,Diving,M,27,Minor injuries to left leg and hand,N,Afternoon,UNKNOWN
Texas,"Standing, holding shark pup",M,UNKNOWN,Minor laceration to shoulder from captive shark PROVOKED INCIDENT,N,UNKNOWN,Blacktip shark pup
Quintana Roo,Swimming,F,UNKNOWN,Lower leg & foot bitten,N,UNKNOWN,Bull shark
New South Wales,Surfing,M,48,Severe injury to left forearm,N,17h45,"Bull shark, 2.5m"
Quintana Roo,Swimming,M,46,Right foot bitten,N,UNKNOWN,UNKNOWN
UNKNOWN,Diving / fishing,M,30,"Left forearm severely bitten, surgically amputated",N,16h00,UNKNOWN
New South Wales,Wakeboarding,F,24,"Severe injuries to head, neck, shoulder & upper left arm",N,13h00,3 m to 4 m shark
South Sinai Peninsula,UNKNOWN,F,UNKNOWN,"Apparent drowning, and subsequent scavenging by 16 tiger shark",UNKNOWN,UNKNOWN,UNKNOWN
New South Wales,Surfing,M,UNKNOWN,"No injury, surboard broken",N,UNKNOWN,UNKNOWN
Queensland,Fishing,M,36,Lacerations to right hand by hooked shark PROVOKED INCIDENT,N,10h45,"Bull shark, 2m"
 Loyalty Islands,Spearfishing,M,21,Lacerations to left forearm,N,Early afternoon,1.5 m shark
Saint Gilles ,Surfing,M,32,Left leg severed at the knee,N,18h30,UNKNOWN
South Australia,Diving for abalone,M,49,FATAL,Y,18h20,White shark x 2
Queensland,Fishing,M,UNKNOWN,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,10h40,1 m shark
Western Australia,Snorkeling,M,58,Arm bitten,N,Late afternoon,UNKNOWN
Colima,Shark fishing on the Ricardo Astorga,M,UNKNOWN,Left foot bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
Eastern Cape Province,Surf fishing,M,37,Right leg bitten,N,UNKNOWN,UNKNOWN
Quintana Roo,Swimming,F,38,"Leg, forearm & hand severely bitten",N,12h00,6 shark
Colima,Shark fishing on the Don Agustín-VI. ,M,25,Left eg bitten PROVOKED INCIDENT,N,UNKNOWN,UNKNOWN
West End,Scuba diving,M,55,Arm bitten ,N,15h00,Caribbean reef shark
