Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
Eastern Cape Province,Surfing,M,26,"Cut on finger, board bitten",N,11h30,,,
Loyalty Islands,Spearfishing,,,Arm bitten,N,20h30,,,
Florida,Surfing,M,30s,Left foot bitten,N,Afternoon,4' shark,,
Florida,Surfing,M,17,Lacerations to right thigh,N,14h30,,,
,,,,"No injury to occupants, shark lifted bow of boat 3 times",N,,4.5 m white shark,,
Eastern Cape Province,Fishing for sharks,M,32,Lacerations to hands & right leg when he tried to pull shark from the water PROVOKED INCIDENT,N,14h00,"Raggedtooth shark, 2.5m ",,
Florida,Surfing,M,18,Puncture wounds to right foot,N,13h00,6' shark,,
California,Surfing,M,25,"No injury, board bitten",N,16h45,,,
California,Surfing,M,26,"No injury, board bumped",N,07h15,12' to 14' white shark,,
Florida,Wading,M,15,Puncture wounds to foot,N,,2' to 3' shark,,
Simpson Bay,Standing,M,55,Lower right leg lacerated,N,08h00,2' shark,,
Western Cape Province,Standing / Surfing,M,20,Right foot bitten,N,Morning,3 m shark,,
California,Surfing,M,36,No injury,N,11h00,White shark,,
California,Surfing,F,20,Leg bitten,N,10h30,18' white shark,,
Florida,Wading,M,15,Minor cuts to dorsum & sole of left foot when he stepped on shark PROVOKED INCIDENT,N,17h55,,,
Hawaii,Surfing,M,22,"No injury, surfboard bitten",N,18h00,"Tiger shark, less than 10'",,
East Wall,Scuba diving,F,57,No injury ,N,15h00,Caribbean reef sharks,,
Florida,Treading water/ Surfing,M,48,Five 1-inch lacerations to left foot,N,16h05,,,
Abaco Islands,Diving,M,35,Lacerations to right side of face,N,,,,
Western Cape Province,Surf-skiing,M,52,"No injury, shark bit ski",N,15h00,White shark,,
New South Wales,Surfing,M,28,"No injury, knocked off board",N,,"Tiger shark, 3 m ",,
South Australia,Surfing,M,26,Lacerations to legs,N,12h05,14' to 16' white shark,,
Western Australia,Surfing,M,44, No injury,N,Morning,Bronze whaler shark,,
Florida,Surfing,M,,Lacerations to dorsum of left foot,,07h30,Shark involvement not confirmed,,
South Carolina,Body surfing,F,68,"Injuries to fingers, calf  & heel",N,16h30,3' to 4' shark,,
South Carolina,Surfing,M,18,FATAL,Y,14h00,,,
New South Wales,Standing,M,15,Left foot & ankle lacerated,N,Dusk,,,
North Carolina,Wading,F,18,Calf severely lacerated,N,15h20,Bull shark,,
South Australia,Surfing,M,40,Lacerations to right arm & thigh,N,15h00,4 m [13'] white shark,,
Florida,Standing / Surfing,M,62,Right foot bitten,N,11h10,,,
,Removing shark from net,M,21,FATAL PROVOKED INCIDENT,Y,,"2 m [6.75'] shark, 200-kg shark T",,
South Australia,Scuba diving,M,23,FATAL,Y,16h10,White shark,,
California,Surfing,M,37,Lower right leg lacerated,N,11h00,juvenile white shark,,
South Carolina,"Boogie boarding, kicked at object in the water",M,17,"Laceration to knee, possibly by a  small blacktip shark",,Afternoon,Shark involvement not confirmed,,
South Carolina,Swimming,M,8,Bitten underneath left arm,N,Morning,Possibly a sandbar shark or small blacktip shark,,
Texas,Walking,M,12,Left foot bitten,N,20h00,,,
Western Cape Province,,,,Human foot recovered from the water,,,Shark involvement prior to death was not confirmed,,
North Carolina,Surfing,M,16,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,11h30,1.8 m [6'] shark,,
South Carolina,Swimming,M,14,Puncture wounds on left foot ,N,09h45,,,
Inner Islands,Fishing,M,,"FATAL, shark involvement prior to death is unconfirmed",,,Invalid,,
Florida,Wading,F,13,Laceration on the back of left hand & toothmarks on wrist,N,18h00,,,
Florida,Surfing,M,61,"Right foot: Toes and back of foot, minor injury",N,11h30,,,
Florida,Surfing,M,25,"Straight 2.5"" laceration on top of left ankle",,11h15,Shark involvement not confirmed,,
,Swimming,M,,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,,,Shark involvement prior to death was not confirmed,,
Shanghai,Scuba diving in aquarium tank,M,24,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,,3.5 m [11.5']shark,,
,,,,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",,,No shark involvement,,
North Carolina,Swimming,M,22,Lacerations of left forearm,N,16h40,[4.5' to 5'] shark,,
Texas,Holding onto an inflatable boat,F,14,Left foot bitten,N,13h00,[4' to 5'],,
Florida,Standing,M,19,Ankle bitten,N,11h30,,,
Florida,Fishing,M,16,"Leg severely bitten, surgically amputated",N,11h30,Bull shark,,
Florida,Swimming with boogie board,F,14,"FATAL, leg bitten",Y,11h15,1.8 m [6'] bull shark,,
Malampa Province,Swimming,F,7,FATAL,Y,Afternoon,"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha",,
Baja California,Surfing,M,,Left foot bitten,N,07h00,,,
Hawaii,Swimming,M,49,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",,08h00,Invalid,,
Florida,Swimming,M,20,Foot bitten,N,Afternoon,"Unknown, but it was reported that a shark tooth was recovered from the wound",,
South Ch'ungch'ong Province,Diving,F,38,Knee bitten,N,,3 m [10'] white shark,,
South Carolina,Boogie boarding,F,11,Foot lacerated,N,11h30 ,,,
New Jersey,Surfing,M,17,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,,11h00,"Mr. Burgess of ISAF announced the injury was the bite of a 1.8 m [6'], 2- to 3-year old white shark. Subsequent investigation revealed there was  no shark involvement in this incident",,
Western Cape Province,Spearfishing (Free diving),M,22,FATAL,Y,15h45,White shark,,
Texas,Wading,M,6,Two 2-inch lacerations on right foot,N,Morning,,,
Florida,Swimming,M,33,Left foot bitten,N,17h30,"""small shark""",,
Florida,Crouching in 2' of water,F,,Right arm & torso bitten,N,18h30,"18"" to 36"" shark",,
Eastern Cape Province,Surfing,M,32,Left buttock  & legs lacerated ,N,11h00,Raggedtooth shark,,
Queensland,Spearfishing,M ,,Severe injury to lower leg,N,,Blacktip shark,,
Hawaii,Kayaking,,,"No injury, shark bit kayak",N,11h00,"Tiger shark, 8' to 9' ",,
,Fishing,M,,Thigh bitten,N,,2.5 m shark,,
South Carolina,Sea Disaster,M,Teens,No injury,N,,,,
Hawaii,Surfing,M,47,"No injury, board damaged",N,10h30,"Tiger shark, 3 m [10']",,
New South Wales,Fishing,M,25,Laceration on left thigh PROVOKED INCIDENT,N,23h00,"Mako shark, 1.5 m [5'] ",,
New South Wales,,,,Shark-bitten surfboard found adrift,N,,,,
Northern Territory,Spearfishing,M,20,Minor cuts above his right eye,N,,2 m [6.75'] copper shark,,
New South Wales,Surfing,M,40,"No injury, board bitten",N,06h10,Bronze whaler shark,,
Florida,Wading,F,70,Right lower leg bitten,N,,1.8 m [6'] blacktip shark,,
Florida,Surfing,M,52,Foot injured ,,,Shark involvement not confirmed,,
Texas,Surfing,M,37,Left foot bitten ,N,19h00,,,
Florida,,F,,Left calf injured,N,,small hammerhead shark,,
Bay Islands,SCUBA Diving,F,,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",,,Shark involvement not confirmed,,
Western Cape Province,Surfing,M,32,"Lacerations to right calf, puncture wounds on right foot",N,09h45,4 m [13'] shark,,
New South Wales,Surfing,M,,"No injury, shark rammed surfboard",N,,,,
,Surfing,M,,Right leg bitten,N,17h30,,,
Western Australia,Snorkeling,M,26,FATAL,Y,14h00,6 m [20'] white shark,,
New Mexico,Diving in aquarium display tank,M,45,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,15h30,"Sandtiger shark, 2.1 m [7'] ",,
KwaZulu-Natal,,M,51,Bites by 2.5 m tiger shark were post mortem,,,Invalid,,
North Island,Fishing,M,,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 4.3 m [14'] ",,
Santa Isabel Province,Diving,M,,Thighs bitten,N,,,,
Queensland,Swimming,M,18,Finger bitten,N,,Bull shark,,
Florida,Spearfishing,M,,Speared shark bit his chest PROVOKED INCIDENT,N,,"Nurse shark, 3' ",,
Hawaii,Surfing,M,,"No injury, knocked off board, shark bit board",N,14h30,"Tiger shark, 2.4 m [8']",,
Florida,Spearfishing,M,,Hand bitten,N,,1.8 m [6'] Caribbean reef shark,,
Bahia,Surfing,M,12,Right thigh & ankle injured,N,,,,
Santiago de Cuba Province,Swimming,M,19,Left foot severed,N,,3 m [10'] shark,,
Victoria,Spearfishing,M,,No injury. Towed by speared shark PROVOKED INCIDENT,N,,3 m shark,,
Victoria,Attempting to drive shark away from sailing regatta,,,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,14h00,"Bronze whaler shark, 2 m to 3 m [6.75' to 10']  ",,
North Island,Fishing from a kayak,M,39,"No injury, kayak bumped repeatedly",N,12h00,White shark,,
Eastern Province,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,No injury,,,No shark involvement,,
South Australia,Scurfing (surfboard being  towed behind a boat),M,18,FATAL,Y,15h15,4.5 m & 5 m white shark ,,
Queensland,Spearfishing,M,38,"FATAL, leg bitten",Y,13h00,Bull shark,,
Eastern Cape Province,Surfing,M,20,3 lacerations on foot,N,18h00,Raggedtooth shark,,
Eastern Cape Province,Playing,M,16,Lacerations on lower leg & foot,N,,Raggedtooth shark,,
Western Cape Province,Swimming,F,77,FATAL,Y,07h00,6 m [20'] white shark,,
California,Surfing,lli,38,"Lacerations to hand, knee & thigh ",N,13h30,5.5 m [18'] white shark,,
Malampa Province,Snorkeling,M,30s,Thigh bitten,N,09h00,,,
North Province,Diving,,,Forearm bitten,N,,3 m shark,,
Camaguey Province,Diving,M,40,Left forearm bitten,N,14h00,2.5 m [8.25'] bull shark,,
North Island,,,,No injury,,,Invalid,,
Western Cape Province,Chumming for white sharks,M,52,Right ankle & foot lacerated,N,Morning,2 m [6.75'] white shark,,
New South Wales,Surfing,M,59,Right foot lacerated,N,Afternoon,"Bronze whaler shark, 2.4 m [8'] ",,
California,Surfing,M,,Lower leg bitten,N,09h30,1.8 m to 2.4 m [6' to 8'] white shark,,
Hawaii,Spearfishing,M,34,Left shoulder bitten,N,12h40,"Tiger shark, 2.4 m to 3.7 m [8' to 12'] ",,
Eastern Cape Province,Surfing,M,34,Puncture wounds on right foot,N,Morning,"Raggedtooth shark, 1.5 to 2 m [5' to 6.75']",,
Conservatória District,Body boarding,M,15,"Leg severely bitten, surgically amputated",N,16h15,Thought to involve a 2.5 m bull or tiger shark,,
California,Surfing,M,16,"No injury, knocked off surfboard",N,15h30,,,
California,Surfing,M,40,"No injury, shark struck board & spun it around",N,14h00,,,
Queensland,Spearfishing/ filming,,,"No injury to occupants, boat damaged",N,12h00,"Tiger shark, 3 m [10'] ",,
Oregon,Surfing,M,26,Leg bitten,N,09h00,White shark,,
Texas,Surf fishing,M,,Minor scratch on calf,,Between 05h00 and 08h00,Shark involvement questionable,,
Pernambuco,Swimming,,,FATAL,Y,,,,
South Carolina ,Jumping,F,17,Left knee & leg bitten,N,15h40,2.4 m [8'] shark,,
Florida,Walking,F,38,Heel bitten,N,17h30,,,
Pernambuco,Bathing,M,24,Calf bitten & both hands injured,N,13h00,"Tiger shark, 1.5 m ",,
California,Surfing,M,,Foot bitten,N,17h30,0.9 m to 1.2 m [3' to 4'] white shark,,
California,Diving,M,50,FATAL,Y,16h00,4.9 m to 5.5 m [16' to 18'] white shark,,
Florida,Swimming,M,47,"Back, buttocks, left hand & left side of face bitten",N,20h30,1.2 m [4'] shark,,
New South Wales,Spearfishing,M,30,Minor puncture wounds to leg,N,14h00,,,
KwaZulu-Natal,Fishing,,,No injury to occupants; boat damaged,N,,3 m to 4 m [10' to 13']  white shark,,
Florida,Surfing,F,20,Right foot bitten,N,13h00,,,
Kuril Islands in the Pacific,Diving & fishing with net,M,,Thigh & calf bitten,N,,White shark,,
North Carolina,Surfing,F,28,Right calf bitten,N,17h30,,,
North Carolina,Swimming,F,13,Right forearm & wrist lacerated,N,17h00,1.8 m [6'] shark,,
Texas,Swimming,F,19,Right foot bitten,N,16h30,1.2 m to 1.5 m [4' to 5'] shark,,
Texas,Wading / fishing & carrying a bag of fish,M,11,Right forearm nearly severed and bites above & below the right knee,N,19h30,Bull shark,,
Western Australia,Fishing,,,"No injury to occupants; shark mouthed motor, severed anchor line",N,,4 m [13'] white shark,,
Wakayama Prefecture,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,Suffered broken ribs when the shark's tail fin slammed into his chest,N,,"Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] ",,
Western Australia,Surfing,M,30,"FATAL, abdomen, pelvis & leg bitten      ",Y,14h10,"2 sharks, 4.5 m & 3 m ",,
Sinai Peninsula,Snorkeling,F,Teen,Hand severed,N,,"""black tipped"" shark",,
Alabama,Wading,M,7,Right foot lacerated,N,16h40,4' to 5' shark,,
California,Surfing,M,45,"No injury, shark struck his board",N,09h00,"9'2"" white shark",,
Western Australia,Crayfishing,M,,"No injury, shark made threat displays & diver fended it off with his speargun",,,Invalid,,
Florida,In water with diving seabirds,F,,Foot bitten,N,,,,
Western Australia,Body boarding,M,17,Ankle & foot lacerated,N,Late afternoon,"Bronze whaler shark, 2.5 m [8.25'] ",,
Florida,Swimming,M,8,Right wrist  & left arm lacerated,N,18h00,1.2 m [4'] shark,,
Western Cape Province,"Swimming, poaching perlemoen",M,21,"FATAL, leg severed ",Y,15h00,White shark,,
Texas,Wading,M,16,Puncture wounds on shin,N,19h45,0.9 m to 1.5 m [3' to 5'] shark,,
Pernambuco,Swimming,M,17,"Left hand, foot severed &  left calf & arm bitten",N,14h30,Bull shark,,
California,Surfing,M,44,No injury,N,11h00,2.4 m to 3.7 m [8' to 12'] shark,,
Florida,Boogie-boarding / swimming,M,9,Calf & foot lacerated,N,12h30,,,
Florida,Swimming,M,9,Single puncture wound on the foot,,,Shark involvement not confirmed,,
Florida,,F,9,Foot bitten,N,Afternoon,,,
Pernambuco,Wading,F,24,Hips & thighs bitten,N,16h00,,,
Abaco Islands,Free diving & spearfishing,M,63,Left forearm bitten PROVOKED INCIDENT,N,15h00,"1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)",,
Texas,Tandem surfing,M,28,"No injury, board bitten",N,16h30,"Mako shark, 1.8 m [6']",,
Pernambuco,Swimming,M,22,FATAL,Y,Afternoon,,,
New South Wales,Diving,M,,Puncture wounds on wrist,N,Morning,"Wobbegong shark, 1.2 m [4'] k",,
North Island,Fishing,,,"No injury to occupants, boat scratched by shark",N,,"White shark, 5.5 m [18']",,
Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,,small sharks,,
Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,,Questionable Incident,,
Hawaii,Surfing,M,57,FATAL Severe wound to right thigh & calf,Y,07h08,Tiger shark,,
Western Cape Province,Surfing,M,16,"Left leg lacerated, right leg severed above the knee ",N,14h00,5 m [16.5'] white shark,,
Hawaii,Surfing,F,22,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",,,Shark involvement prior to death was not confirmed,,
Florida,,M,26,Right foot bitten,N,,,,
Florida,Surfing,M,20,15 puncture wounds on foot,N,09h00,1.2 m [4'] bull shark,,
Pernambuco,Body boarding,M,22,"Lower left leg bitten, surgically amputated",N,07h30,bull shark,,
Florida,Surfing,M,,Heel bitten,N,15h00,bull shark,,
Saint-Benoît,Surfing,M,20,Right thigh bitten,N,17h00 or 17h40,2.5 m shark,,
Florida,Swimming,M,61,Minor lacerations & abrasions on forearm,N,08h30,,,
Hawaii,Snorkeling,F,,Lacerations to left foot,N,10h00,1.8 m [6'] shark,,
North Island,Spearfishing,M,,No injury,N,12h30,Bronze whaler shark,,
Hawaii,Surfing,M,51,"No injury, board bitten",N,07h45,"Tiger shark, 2.4 m to 3 m [8' to 10'] ",,
Western Australia,Spearfishing,M,47,Shin & calf bitten,N,,"Bronze whaler shark, 1.5 m [5'] ",,
Pernambuco,Swimming,M,29,"FATAL, right thigh & hip bitten   ",Y,15h00,,,
"South Island, near Karitane north of Dunedin",Surfing,M,15,Thigh lacerated,N,19h00,2 m [6.75'] sevengill  shark,,
New South Wales,Swimming,M,,Three toes lacerated,N,,,,
Queensland,Free diving & spearfishing,M,31,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",,11h00,Shark involvement not confirmed,,
,Snorkeling,M,,FATAL,Y,,,,
New South Wales,Snorkeling,M,22,Leg bitten,N,,"60 cm [23.6""] blind or brown shark",,
Western Australia,Scuba diving,M,46,Left leg bitten,N,11h05,4 m to 5 m [13' to 16.5'] white shark,,
Rocha,Surfing,M,21,Puncture wounds to dorsum of right foot,N,,Possibily a  1.5 to 2 m sandtiger shark,,
Northlands,Boogie boarding,M,,"No injury, swim fin damaged",,,Shark involvement doubtful,,
Anzoategui,Swimming,M,,Lower back & hand bitten,N,14h30,"Bull shark, 1.65 m [5'5""] was speared & killed",,
Anzoategui,Spearfishing,M,40,Right leg bitten,N,11h00,"Bull shark, 132-kg [291-lb] ",,
KwaZulu-Natal,Surf skiing,M,,"No injury to occupants, stern of ski bitten",N,,"Mako shark, 3 m to 4 m [10' to 13'] ",,
New South Wales,Diving,M,,"No injury, swim fin ripped off",N,Midday,"Raggedtooth shark, 3.5 m [11.5'] ",,
Eastern Cape Province,Surfing,M,22,Foot lacerated,N,,Raggedtooth shark,,
North Island,Kayaking (returning from spearfishing),M,,"No injury, no attack, shark took fish from back of kayak",,Afternoon,Invalid,,
Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,,"No survivors, sharks scavenged on remains",Y,03h00,,,
Western Australia,Surfing,M,,No inury,N,Morning,,,
KwaZulu-Natal,,,,No injury to occupants,N,,Shortfin mako shark,,
Florida,Swimming,M,28,Knee lacerated,,,Questionable Incident,,
Florida,Swimming,M,13,Foot bitten,N,13h15,,,
Cook Islands,Swimming / shipwreck,M,45,FATAL,Y,Night,,,
Victoria,Surfing amid a shoal of sharks,M,36,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,09h30,,,
Western Australia,Swimming,M,,"After biting Halverson, it bit Scott's thigh",N,11h30,"Wobbegong shark, 1.2 m [4'] ",,
Western Australia,Swimming,M,,Hand & foot bitten,N,11h30,"Wobbegong shark, 1.2 m [4'] ",,
KwaZulu-Natal,Spearfishing,M,21,"Presumed FATAL, severed hand recovered",Y,>08h00,"Tiger shark, 4 m [13']  ?",,
Florida,Surfing,F,35,Severe abrasion to left lateral calf,N,15h30,4' shark,,
Tamil Nadu,Swimming or surfing,M,35,Left index finger lacerated,N,,Tiger shark?,,
Florida,Surfing,M,24,Lacerations to hand,N,,,,
Sinai Peninsula,Snorkeling,M,,Hand/elbow injured,N,,2.5 oceanic whitetip shark,,
KwaZulu-Natal,Surf skiing,,,"No injury to occupants, hull of ski bitten",N,,White shark,,
New South Wales,Standing,M,,Minor lacerations to leg & foot,N,Dusk,,,
Pearl Islands,Spearfishing,M,,Left forearm bitten PROVOKED INCIDENT,N,,"Nurse shark, 60 cm to 90 cm [2' to 3'] ",,
Florida,Surfing,M,18,Left foot (sole) bitten,N,15h00,1.2 m to 1.5 m [4' to 5'] shark,,
New South Wales,Surfing,M,22,Left ankle & foot lacerated,N,17h30,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark",,
Hawaii,Surfing,F,13,Left arm severed below shoulder,N,07h30,"Tiger shark, 14' ",,
Florida,Surfing,M,46,Laceration on right ankle & heel,N,12h20,,,
Hawaii,Snorkeling,M,56,Left forearm lacerated,,12h20,Shark involvement not confirmed,,
Florida,Surfing,M,19,Foot bitten,N,--,1.2 m [4'] shark,,
Florida,Swimming to shore from boat or kayak,M,,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,--,Shark involvement prior to death was not confirmed,,
Florida,Surfing,F,,Minor puncture wounds in hand,N,15h00,,,
Florida,Surfing,M,18,5 to 6 lacerations on right foot & ankle,N,14h30,,,
Florida,Surfing,M,30,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,14h00,,,
Florida,Sitting on surfboard,M,50,Left foot bitten,N,12h02,,,
Hawaii,Wading near a fishing net,F,41,"Left thigh abraded, right knee and right index finger injured",N,12h55,"1.2 m [4'] ""grey-colored shark""",,
Taveuni,Wading to shore from his boat,M,40,FATAL abdomen bitten,Y,Night,,,
Florida,Surfing,M,16,Arm lacerated,N,07h45,,,
Florida,Surfing,M,21,Left foot bitten,N,11h45,,,
Florida,Surfing,M,19,Left heel lacerated,N,16h30,,,
Florida,Surfing,M,17,3 puncture wounds on left foot,N,14h00,,,
Florida,Surfing,M,30,Left foot: lacerations on heel and sole,N,16h14,3' shark,,
Western Cape Province,Fishing ,,36 & 26,"No injury to occupants, shark bit boat",N,09h40,2 m cow shark,,
Florida,Swimming,F,8 or 10,Puncture wounds on inner thigh,,13h30,Shark involvement doubtful,,
Florida,Body boarding,M,18,Left calf avulsion,N,17h11,6' shark,,
South Carolina,"Standing, stepped on shark",M,15,Ankle lacerated,N,Afternoon,7' shark,,
Western Cape Province,Body boarding,M,19,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,14h30,White shark,,
Florida,Wade-fishing,M,,2 lacerations on each side of Achilles tendon,N,,,,
Texas,Fishing,M,,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,12h20,1.2 m [4'] bull shark,,
California,"Swimming, wearing black wetsuit & swim fins",F,50,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,08h15,4.5 m to 5.5 m [15' to 18'] white shark,,
California,Swimming,M,31,Left ankle lacerated,,00h30,Shark involvement not confirmed,,
Eastern Cape Province,Sitting on surfboard,M,16,"No injury, wetsuit torn & board bitten",N,08h00,3.5 m [11.5'] white shark,,
Northern Territory,Surf skiing,M,37,"No injury, flung into water when shark bit rudder of ski",N,,,,
Florida,Surfing,M,18,Laceration to little finger of  right hand,N,15h45,,,
Florida,Wading,F,15,Heel & sole of left foot,N,14h37,,,
Abaco Islands,Spearfishing,M,58,Right thigh bitten,N,14h30,Unidentified species,,
Florida,"Walking, carrying surfboard & stepped on shark",M,10,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,10h07,2' shark,,
Florida,Surfing,M,21,Left foot bitten,N,,1.5 m to 1.8 m [5' to 6'] shark,,
Abaco Islands,Spearfishing,M,39,Left calf bitten,N,14h45,2.1 m  [7'] bull shark,,
Florida,Spearfishing,M,,Laceration to toe,N,,8' great hammerhead shark,,
Society Islands,Spearfishing,M,,Leg bitten,N,,,,
Cook Islands,Snorkeling,M,,Chest & buttocks  bitten,N,,Grey reef shark,,
Florida,Surfing,M,17,Right foot & toes lacerated,N,13h53,Unidentified species,,
Florida,Surfing,M,15,Ankle lacerated,N,Morning,106 cm [3.5']  shark,,
Pernambuco,,M,,FATAL,Y,,,,
Florida,Standing,F,12,2 lacerations to the thigh,N,Afternoon,“small brown shark”,,
Hawaii,Swimming with pod of dolphins,M,60,Right foot bitten,N,08h00,3.7 m to 4.3 m [12' to 14'] shark,,
Johnston Atoll,Swimming,M,51,Left leg bitten,N,Afternoon,Unidentified species,,
North Carolina,Surfing ,M,33,Hand bitten ,N,Late afternoon,"""sand shark""",,
Florida,Surfing,,15,6 puncture wounds to left ankle,N,11h55,,,
South Carolina,Swimming,F,22,Foot lacerated,,,Shark involvement not confirmed,,
Florida,Surfing,M,18,Left foot lacerated,N,10h00,,,
Florida,Wading,M,22,Left foot bitten,N,13h23,3' to 5' shark,,
Hawaii,Swimming,M,20,Right calf & heel bitten,N,11h45,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark,,
Florida,Surfing,M,34,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,11h40,4' to 5' shark,,
Florida,Walking,F,9,Laceration to right lower leg,N,12h20,,,
Baatan,,,,Arm severed,N,,White shark,,
Rio de Janeiro,Killing  sharks,M,,Shallow  lacerations to left  thigh PROVOKED INCIDENT,N,,,,
Rio de Janeiro,Swimming ,M,16,Bitten on finger,N,18h30,,,
Pernambuco,Surfing,M,17,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,17h00,Bull shark,,
Rio de Janeiro,Swimming,M,7,Right hand lacerated,N,,,,
Florida,Surfing,M,36,Right leg bitten,N,14h30,Unidentified species,,
Florida,Surfing,M,17,Survived,N,13h30,Unidentified species,,
Florida,Surfing,M,30,Left foot bitten,N,Afternoon,Unidentified species,,
Florida,Surfing,M,23,Small lacerations to foot,N,09h00,0.9 m to 1.2 m [3' to 4'] shark,,
Florida,Surfing,M,18,Left ankle bitten or right foot,N,14h20,Unidentified species,,
Florida,Jumping,M,11,Left foot bitten,N,13h20,A “small” shark,,
Florida,Surfing,M,12,2 lacerations on left thigh,N,08h50,Unidentified species,,
Florida,Swimming (using a float),M,20,Left calf lacerated,N,13h00,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee",,
Nueva Esparta,Surfing,M,28,"Right foot bitten, left leg severed",N,--,"Mako shark, 3 m [10']",,
Florida,Surfing,M,,Arm lacerated,N,Dusk,,,
Florida,Surfing,M,50,Left hand and wrist bitten,N,08h00,4' to 5' shark,,
Florida,Petting captive sharks,F,,Hand nipped PROVOKED INCIDENT,N,,60 cm [2'] captive shark,,
Southland,Scuba diving,M,44,Arm lacerated (shark made 3 strikes),N,11h45,2.5 m [8.25'] white shark,,
South Australia,Wading,M,37,Ankle lacerated,N,Dusk,"""a small shark""",,
Florida,Swimming,M,54,Left hand bitten,N,12h10,Species unidentified,,
New South Wales,Swimming,M,24,"Puncture wounds on heel, legs and buttocks",N,--,Thought to involve a 2 m [6.75'] grey nurse shark,,
Queensland,Swimming,M,84,FATAL,Y,Morning,Thought to involve a >2 m [6.75'] bull shark,,
Western Cape Province,Unknown,M,14,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,,--,Shark involvement prior to death was not confirmed,,
North Pacific coast,Surfing,M,,Lower right leg lacerated,N,,"Bull shark, 7'",,
Western Australia,Surfing,F,N/A,"No injury, but her surfboard was bitten",N,13h00,"Bronze whaler shark, 2.5 m [8.25'] ",,
Queensland,Snorkeling,F,18,Left arm lacerated,N,,Reported to involve a hammerhead shark,,
Western Cape Province,Snorkeling,M,25,Forearms lacerated,N,Just after 12h00,"White shark, 4 m white shark",,
Queensland,Scuba diving,M,26,Groin bitten,N,,"Wobbegong shark, 1m",,
Queensland,Swimming,M,11,Foot lacerated,,,"Shark involvement not confirmed, injury may be due to a stingray",,
Queensland,Swimming,M,23,FATAL,Y,02h30,Bull shark,,
Pernambuco,Surfing,M,19,FATAL,Y,,,,
Caroline Islands,Scuba diving,M,,Minor injury to right calf,N,Afternoon,Blacktip shark,,
California,Body boarding,M,48,Both legs severely lacerated,N,09h45,3 m to 4.5 m [10' to 15'] white shark,,
Hawaii,Swimming,F,34,Right shoulder forarm & wrist bitten,N,10h45,2.4 m to 3 m [8' to 10'] grey colored shark,,
Caicos Bank,Snorkeling,F,41,"Right upper am, shoulder & back severely  bitten",N,08h40,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark ,,
Florida,Surfing,M,21,1.5-inch laceration,N,13h40,6' shark,,
Florida,Boogie boarding,M,16,Puncture wounds on right foot,N,13h25,3' to 4' shark,,
